timestamp_inicio,timestamp_fim,duracao_ms,qtd_primos_gerados
1758986434471,1758986434471,0,100
1758986442710,1758986442713,3,1000
1758986468739,1758986468795,56,10000
1758986660855,1758986660899,43,10000
1758986742784,1758986742828,44,10000
1758986867874,1758986869228,1354,100000
1758987753160,1758987753160,0,10
1758987758534,1758987758582,48,10000
1759024772868,1759024772868,0,100
1759025377969,1759025377969,0,100
1759025419225,1759025419225,0,100
1759025422112,1759025422112,0,100
1759025454860,1759025454863,3,1000
1759025474436,1759025474479,43,10000
