metric_id,metric_name,metric_query
0,cpu_usage_total,"rate(container_cpu_usage_seconds_total{container!=""POD"",container!="""",pod=~""app-degradacao-.*""}[5m])"
1,cpu_user,"rate(container_cpu_user_seconds_total{container!=""POD"",container!="""",pod=~""app-degradacao-.*""}[5m])"
2,cpu_system,"rate(container_cpu_system_seconds_total{container!=""POD"",container!="""",pod=~""app-degradacao-.*""}[5m])"
3,cpu_throttled_periods,"rate(container_cpu_cfs_throttled_periods_total{container!=""POD"",container!="""",pod=~""app-degradacao-.*""}[5m])"
4,cpu_throttled_time,"rate(container_cpu_cfs_throttled_seconds_total{container!=""POD"",container!="""",pod=~""app-degradacao-.*""}[5m])"
5,memory_usage_bytes,"container_memory_usage_bytes{container!=""POD"",container!="""",pod=~""app-degradacao-.*""}"
6,memory_working_set_bytes,"container_memory_working_set_bytes{container!=""POD"",container!="""",pod=~""app-degradacao-.*""}"
7,memory_rss,"container_memory_rss{container!=""POD"",container!="""",pod=~""app-degradacao-.*""}"
8,memory_cache,"container_memory_cache{container!=""POD"",container!="""",pod=~""app-degradacao-.*""}"
9,memory_swap,"container_memory_swap{container!=""POD"",container!="""",pod=~""app-degradacao-.*""}"
10,memory_max_usage,"container_memory_max_usage_bytes{container!=""POD"",container!="""",pod=~""app-degradacao-.*""}"
11,memory_failures,"rate(container_memory_failures_total{container!=""POD"",container!="""",pod=~""app-degradacao-.*""}[5m])"
12,memory_limit,"kube_pod_container_resource_limits{container!=""POD"",container!="""",resource=""memory"",pod=~""app-degradacao-.*""}"
13,cpu_quota,"container_spec_cpu_quota{container!=""POD"",container!="""",pod=~""app-degradacao-.*""}"
14,cpu_period,"container_spec_cpu_period{container!=""POD"",container!="""",pod=~""app-degradacao-.*""}"
15,network_rx_bytes,"rate(container_network_receive_bytes_total{container!=""POD"",container!="""",pod=~""app-degradacao-.*""}[5m])"
16,network_tx_bytes,"rate(container_network_transmit_bytes_total{container!=""POD"",container!="""",pod=~""app-degradacao-.*""}[5m])"
17,network_rx_errors,"rate(container_network_receive_errors_total{container!=""POD"",container!="""",pod=~""app-degradacao-.*""}[5m])"
18,network_tx_errors,"rate(container_network_transmit_errors_total{container!=""POD"",container!="""",pod=~""app-degradacao-.*""}[5m])"
19,network_rx_packets_dropped,"rate(container_network_receive_packets_dropped_total{container!=""POD"",container!="""",pod=~""app-degradacao-.*""}[5m])"
20,network_tx_packets_dropped,"rate(container_network_transmit_packets_dropped_total{container!=""POD"",container!="""",pod=~""app-degradacao-.*""}[5m])"
21,fs_usage_bytes,"container_fs_usage_bytes{container!=""POD"",container!="""",pod=~""app-degradacao-.*""}"
22,fs_limit_bytes,"container_fs_limit_bytes{container!=""POD"",container!="""",pod=~""app-degradacao-.*""}"
23,fs_reads,"rate(container_fs_reads_bytes_total{container!=""POD"",container!="""",pod=~""app-degradacao-.*""}[5m])"
24,fs_writes,"rate(container_fs_writes_bytes_total{container!=""POD"",container!="""",pod=~""app-degradacao-.*""}[5m])"
25,fs_read_time,"rate(container_fs_read_seconds_total{container!=""POD"",container!="""",pod=~""app-degradacao-.*""}[5m])"
26,fs_write_time,"rate(container_fs_write_seconds_total{container!=""POD"",container!="""",pod=~""app-degradacao-.*""}[5m])"
27,processes,"container_processes{container!=""POD"",container!="""",pod=~""app-degradacao-.*""}"
28,threads,"container_threads{container!=""POD"",container!="""",pod=~""app-degradacao-.*""}"
29,file_descriptors,"container_file_descriptors{container!=""POD"",container!="""",pod=~""app-degradacao-.*""}"
